Channel,Sample Rate (Hz)
H1:ASC-CHARD_P_INMON,16
H1:ASC-CHARD_Y_INMON,16
H1:ASC-CSOFT_P_INMON,16
H1:ASC-CSOFT_Y_INMON,16
H1:ASC-DHARD_P_INMON,16
H1:ASC-DHARD_Y_INMON,16
H1:ASC-DSOFT_P_INMON,16
H1:ASC-DSOFT_Y_INMON,16
H1:ASC-INP1_P_INMON,16
H1:ASC-INP1_Y_INMON,16
H1:ASC-MICH_P_INMON,16
H1:ASC-MICH_Y_INMON,16
H1:ASC-PRC1_P_INMON,16
H1:ASC-PRC1_Y_INMON,16
H1:ASC-PRC2_P_INMON,16
H1:ASC-PRC2_Y_INMON,16
H1:ASC-SRC1_P_INMON,16
H1:ASC-SRC1_Y_INMON,16
H1:ASC-SRC2_P_INMON,16
H1:ASC-SRC2_Y_INMON,16
H1:DMT-DQ_VECTOR_GATED,16
H1:ISI-GND_BRS_ETMY_RX_BLRMS_30M_100M,16
H1:ISI-GND_STS_ITMY_Z_BLRMS_30M_100M,16
H1:SUS-ETMX_L2_DAMP_MODE14_OUT16,16
