Channel,Sample Rate (Hz),How data was used in LVK analyses,Channel description
H1:ASC-CHARD_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-CHARD_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-CSOFT_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-CSOFT_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-DHARD_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-DHARD_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-DSOFT_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-DSOFT_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-INP1_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-INP1_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-MICH_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-MICH_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-PRC1_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-PRC1_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-PRC2_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-PRC2_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-SRC1_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-SRC1_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-SRC2_P_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
H1:ASC-SRC2_Y_INMON,16,Subtraction of noise around the 60 Hz line,This channel witnesses the low frequency modulation of the 60Hz line coupling
